date,engin,runway,captain,airport,system,offic,control,land,oper,pilot
2009-07-31,0,0,0,0,0,0,0,0,0,0
2009-08-31,1,3,0,27,15,1,93,2,37,48
2009-09-30,0,0,0,0,0,0,0,0,0,0
2009-10-31,0,0,0,0,0,0,0,0,0,0
2009-11-30,0,0,0,0,0,0,0,0,0,0
2009-12-31,0,0,0,0,0,0,0,0,0,0
2010-01-31,0,0,0,0,0,0,0,0,0,0
2010-02-28,0,0,0,0,0,0,0,0,0,0
2010-03-31,0,0,0,0,0,0,0,0,0,0
2010-04-30,0,0,0,0,0,0,0,0,0,0
2010-05-31,0,0,0,0,0,0,0,0,0,0
2010-06-30,0,0,0,0,0,0,0,0,0,0
2010-07-31,0,0,0,0,0,0,0,0,0,0
2010-08-31,3,0,0,7,19,2,3,10,7,63
2010-09-30,0,0,0,0,0,0,0,0,0,0
2010-10-31,0,0,0,0,0,0,0,0,0,0
2010-11-30,0,0,0,0,0,0,0,0,0,0
2010-12-31,11,73,25,20,68,13,1,105,18,64
2011-01-31,0,0,0,0,0,0,0,0,0,0
2011-02-28,0,0,0,0,0,0,0,0,0,0
2011-03-31,0,0,0,0,0,0,0,0,0,0
2011-04-30,39,41,5,16,25,2,12,7,18,13
2011-05-31,0,0,0,0,0,0,0,0,0,0
2011-06-30,0,0,0,0,0,0,0,0,0,0
2011-07-31,0,0,0,0,0,0,0,0,0,0
2011-08-31,40,1,0,9,22,0,5,8,21,31
2011-09-30,18,5,0,11,20,4,10,4,10,27
2011-10-31,0,0,0,0,0,0,0,0,0,0
2011-11-30,0,0,0,0,0,0,0,0,0,0
2011-12-31,5,0,1,11,14,4,11,4,18,15
2012-01-31,0,0,0,0,0,0,0,0,0,0
2012-02-29,0,0,0,0,0,0,0,0,0,0
2012-03-31,65,19,53,18,37,28,19,11,32,18
2012-04-30,0,0,0,0,0,0,0,0,0,0
2012-05-31,0,0,0,0,0,0,0,0,0,0
2012-06-30,0,0,0,0,0,0,0,0,0,0
2012-07-31,0,0,0,0,0,0,0,0,0,0
2012-08-31,0,0,0,0,0,0,0,0,0,0
2012-09-30,0,0,0,0,0,0,0,0,0,0
2012-10-31,0,0,0,0,0,0,0,0,0,0
2012-11-30,0,0,0,0,0,0,0,0,0,0
2012-12-31,0,0,0,0,0,0,0,0,0,0
2013-01-31,10,0,7,14,18,1,9,2,11,0
2013-02-28,0,0,0,0,0,0,0,0,0,0
2013-03-31,0,0,0,0,0,0,0,0,0,0
2013-04-30,11,15,31,6,37,30,7,14,22,3
2013-05-31,0,0,0,0,0,0,0,0,0,0
2013-06-30,0,0,0,0,0,0,0,0,0,0
2013-07-31,6,30,11,30,32,7,10,19,18,14
2013-08-31,7,73,56,27,24,41,9,14,13,15
2013-09-30,0,0,0,0,0,0,0,0,0,0
2013-10-31,0,0,0,0,0,0,0,0,0,0
2013-11-30,0,0,0,0,0,0,0,0,0,0
2013-12-31,0,0,0,0,0,0,0,0,0,0
2014-01-31,0,0,0,0,0,0,0,0,0,0
2014-02-28,0,0,0,0,0,0,0,0,0,0
2014-03-31,0,0,0,0,0,0,0,0,0,0
2014-04-30,0,0,0,0,0,0,0,0,0,0
2014-05-31,27,34,0,11,39,0,10,2,16,15
2014-06-30,0,0,0,0,0,0,0,0,0,0
2014-07-31,0,0,0,0,0,0,0,0,0,0
2014-08-31,0,0,0,0,0,0,0,0,0,0
2014-09-30,0,0,0,0,0,0,0,0,0,0
2014-10-31,9,1,0,4,39,6,2,5,29,19
2014-11-30,0,0,0,0,0,0,0,0,0,0
2014-12-31,22,23,0,10,60,4,11,23,13,54
2015-01-31,0,0,0,0,0,0,0,0,0,0
2015-02-28,0,0,0,0,0,0,0,0,0,0
2015-03-31,24,97,48,37,23,43,32,52,21,15
2015-04-30,0,0,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0,0,0
2015-06-30,7,0,3,4,38,9,7,8,55,75
2015-07-31,29,0,0,1,66,2,19,5,15,26
2015-08-31,0,0,0,0,0,0,0,0,0,0
2015-09-30,0,0,0,0,0,0,0,0,0,0
2015-10-31,0,0,0,0,0,0,0,0,0,0
2015-11-30,2,19,71,20,11,64,16,21,38,26
2015-12-31,0,0,0,0,0,0,0,0,0,0
2016-01-31,0,0,0,0,0,0,0,0,0,0
2016-02-29,0,0,0,0,0,0,0,0,0,0
2016-03-31,0,0,0,0,0,0,0,0,0,0
2016-04-30,0,0,0,0,0,0,0,0,0,0
2016-05-31,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,0
2016-07-31,0,0,0,6,7,0,3,7,25,56
2016-08-31,0,0,0,0,0,0,0,0,0,0
2016-09-30,0,0,0,0,0,0,0,0,0,0
2016-10-31,104,14,49,25,40,35,10,9,56,24
2016-11-30,0,0,0,0,0,0,0,0,0,0
2016-12-31,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0
2017-02-28,0,0,0,0,0,0,0,0,0,0
2017-03-31,6,28,31,16,26,2,8,1,17,2
2017-04-30,0,0,0,0,0,0,0,0,0,0
2017-05-31,7,34,1,15,19,2,45,16,37,21
2017-06-30,0,0,0,0,0,0,0,0,0,0
2017-07-31,2,118,41,29,36,40,24,37,15,17
2017-08-31,0,0,0,0,0,0,0,0,0,0
2017-09-30,0,0,0,0,0,0,0,0,0,0
2017-10-31,0,0,0,0,0,0,0,0,0,0
2017-11-30,0,0,0,0,0,0,0,0,0,0
2017-12-31,0,0,0,0,0,0,0,0,0,0
2018-01-31,0,0,0,0,0,0,0,0,0,0
2018-02-28,0,0,0,0,0,0,0,0,0,0
2018-03-31,23,0,0,2,68,7,16,4,54,16
2018-04-30,95,4,49,23,7,35,38,29,18,3
2018-05-31,0,0,0,0,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0,0,0,0,0
2018-07-31,2,1,4,19,41,8,6,3,16,9
2018-08-31,0,0,0,0,0,0,0,0,0,0
2018-09-30,0,0,0,0,0,0,0,0,0,0
2018-10-31,0,0,0,0,0,0,0,0,0,0
2018-11-30,0,0,0,0,0,0,0,0,0,0
2018-12-31,0,0,0,0,0,0,0,0,0,0
2019-01-31,5,0,0,0,30,0,1,1,34,23
2019-02-28,3,0,55,9,28,26,14,6,19,14
2019-03-31,0,0,0,0,0,0,0,0,0,0
2019-04-30,0,0,0,0,0,0,0,0,0,0
2019-05-31,4,1,0,1,41,0,8,11,32,33
2019-06-30,10,4,0,7,13,8,4,22,13,48
2019-07-31,0,0,0,0,0,0,0,0,0,0
2019-08-31,0,0,0,0,0,0,0,0,0,0
2019-09-30,0,0,0,0,0,0,0,0,0,0
2019-10-31,21,78,103,37,33,65,3,52,19,1
2019-11-30,0,0,16,2,15,10,2,1,18,5
2019-12-31,3,0,0,6,10,7,4,5,31,109
2020-01-31,0,0,0,11,27,1,33,1,23,59
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0,0,0,0,0
2020-10-31,0,0,0,0,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,0,0,0,0
2021-02-28,0,0,0,0,0,0,0,0,0,0
2021-03-31,0,0,0,0,0,0,0,0,0,0
2021-04-30,0,0,0,0,0,0,0,0,0,0
2021-05-31,0,0,0,0,0,0,0,0,0,0
2021-06-30,0,0,0,0,0,0,0,0,0,0
2021-07-31,0,0,0,0,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0,0,0,0,0
2021-09-30,1,0,0,1,0,0,3,0,10,8
2021-10-31,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0,0,0,0,0
2021-12-31,0,0,0,0,0,0,0,0,0,0
2022-01-31,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0,0,0,0,0
2022-04-30,0,0,0,0,0,0,0,0,0,0
2022-05-31,0,0,0,0,0,0,0,0,0,0
2022-06-30,44,0,0,6,4,6,4,11,68,22
2022-07-31,0,0,0,0,0,0,0,0,0,0
2022-08-31,0,0,0,0,0,0,0,0,0,0
2022-09-30,10,0,0,5,7,3,12,4,22,18
2022-10-31,0,0,0,0,0,0,0,0,0,0
2022-11-30,0,0,0,0,0,0,0,0,0,0
2022-12-31,0,0,0,0,0,0,0,0,0,0
2023-01-31,2,152,68,42,37,7,41,4,21,5
2023-02-28,12,88,45,36,26,45,55,18,9,7
2023-03-31,0,0,0,0,0,0,0,0,0,0
2023-04-30,0,0,0,0,0,0,0,0,0,0
2023-05-31,0,0,0,0,0,0,0,0,0,0
2023-06-30,0,0,0,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0,0,0
2023-08-31,0,0,0,0,0,0,0,0,0,0
2023-09-30,0,0,0,0,0,0,0,0,0,0
2023-10-31,0,0,0,0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0
2023-12-31,0,0,0,0,0,0,0,0,0,0
2024-01-31,0,0,0,0,0,0,0,0,0,0
2024-02-29,0,5,8,2,25,4,6,25,27,4
