date,engin,runway,captain,airport,system,offic,control,land,oper,pilot
1999-01-31,0,0,0,0,0,0,0,0,0,0
1999-02-28,0,0,0,0,0,0,0,0,0,0
1999-03-31,0,0,0,0,0,0,0,0,0,0
1999-04-30,0,0,0,0,0,0,0,0,0,0
1999-05-31,0,0,0,0,0,0,0,0,0,0
1999-06-30,15,62,82,39,42,72,37,37,8,13
1999-07-31,20,0,0,11,5,3,17,7,3,15
1999-08-31,0,0,0,0,0,0,0,0,0,0
1999-09-30,0,0,0,0,0,0,0,0,0,0
1999-10-31,47,4,71,15,95,83,38,17,58,61
1999-11-30,0,0,0,0,0,0,0,0,0,0
1999-12-31,0,0,0,0,0,0,0,0,0,0
2000-01-31,8,7,79,14,21,35,14,13,7,6
2000-02-29,36,8,43,15,10,50,5,12,20,18
2000-03-31,7,78,68,32,18,46,16,54,13,10
2000-04-30,66,25,34,14,19,15,32,8,9,19
2000-05-31,0,0,0,0,0,0,0,0,0,0
2000-06-30,0,0,0,0,0,0,0,0,0,0
2000-07-31,0,0,0,0,0,0,0,0,0,0
2000-08-31,0,0,0,0,0,0,0,0,0,0
2000-09-30,0,0,0,0,0,0,0,0,0,0
2000-10-31,74,12,5,31,67,18,55,9,34,49
2000-11-30,0,0,0,0,0,0,0,0,0,0
2000-12-31,0,0,0,0,0,0,0,0,0,0
2001-01-31,6,6,0,34,23,0,32,9,17,38
2001-02-28,0,0,0,0,0,0,0,0,0,0
2001-03-31,9,43,52,42,11,69,47,25,11,10
2001-04-30,0,0,0,0,0,0,0,0,0,0
2001-05-31,0,0,0,0,0,0,0,0,0,0
2001-06-30,0,0,0,0,0,0,0,0,0,0
2001-07-31,0,0,0,0,0,0,0,0,0,0
2001-08-31,35,0,0,3,7,2,3,23,10,15
2001-09-30,0,0,0,0,0,0,0,0,0,0
2001-10-31,0,0,0,0,0,0,0,0,0,0
2001-11-30,26,5,72,11,26,88,21,0,7,15
2001-12-31,0,0,0,0,0,0,0,0,0,0
2002-01-31,0,0,0,0,0,0,0,0,0,0
2002-02-28,0,0,0,0,0,0,0,0,0,0
2002-03-31,0,0,0,0,0,0,0,0,0,0
2002-04-30,0,0,0,0,0,0,0,0,0,0
2002-05-31,0,0,0,0,0,0,0,0,0,0
2002-06-30,0,0,0,0,0,0,0,0,0,0
2002-07-31,51,44,89,33,13,91,10,27,11,20
2002-08-31,0,0,0,0,0,0,0,0,0,0
2002-09-30,0,0,0,0,0,0,0,0,0,0
